1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31.07833958,31.19887473,26.37147056,24.64951867,25.2842292,20.58298717,34.30874484,50.92288515,53.68144831,58.78030021,65.50121015,80.3809971,86.89349455,88.09713949,98.44884125,98.05556308,98.37894766,116.7095196,120.9767851,121.6304135,127.423448,133.2164825,139.0095171,144.8025516,150.5955861
48.73362494,47.49072103,56.52940325,62.32386808,66.87000509,68.15046496,74.45411399,94.5237292,98.12922987,112.7388284,132.617313,139.6473697,156.1966577,166.3442708,160.5585911,171.926981,159.5784251,180.0146071,185.2317638,240.6050383,238.1639456,221.6018136,241.7952287,255.9291632,273.2462234
12.5444021,10.33677994,15.05939154,10.32830126,10.88635636,11.60881068,14.14213314,14.39765217,15.00371193,19.20424087,23.44208637,24.9020002,27.25891055,67.63155467,72.71714843,76.05031945,81.49631915,83.6036928,75.6520904,73.02148369,76.22264176,73.37731017,63.50736996,57.39419225,52.15800171
28.32502041,27.24468727,26.15397741,27.89611547,29.0502387,30.15709015,33.57679995,40.16371905,58.18003235,62.84033815,61.0163392,77.99843817,76.53186,83.65836919,93.16230305,91.40632934,96.49856313,97.61968608,92.75184564,93.17037384,96.22343909,101.6031983,113.1236772,105.0299724,100.2758323
38.87175755,36.31224876,32.38568219,69.33378564,128.3961642,92.89795245,94.39968985,113.4115662,160.2639853,196.6334432,275.8530708,261.8469858,310.7047011,337.4844929,401.1885511,396.2626141,471.5245621,505.0676603,493.4691226,526.4483486,553.5171653,702.9656617,745.6072569,791.85183,768.4479677
7.333295269,3.445998725,3.718598832,4.099490425,4.491199943,5.021278269,6.037858676,7.398454399,7.310149941,9.162530917,11.48913954,13.48165038,15.6487575,15.66866464,15.80599478,13.15233261,16.48878196,15.38107675,17.22213664,16.89332204,18.87451179,0.031447456,17.23521878,15.89933083,14.4444457
15.71787376,17.25248217,16.55755382,19.89525203,20.149018,21.17472691,25.11775627,22.54913354,23.47170048,29.23538094,24.89248959,19.61926277,20.10397079,19.75590599,13.74090171,16.15363047,16.68308539,16.79537455,20.00636849,18.50599597,11.37712426,10.9200452,10.28608075,13.08111019,14.02409853
96.72749167,97.22445314,98.69104555,102.0673397,104.7722384,110.8139201,122.2633504,137.0486859,141.8482566,158.2661309,161.1861454,179.5046486,180.3478441,203.2159739,222.0855833,238.7797425,273.8049463,285.805819,332.4432238,346.8384239,359.5770858,381.3465152,397.9575548,372.8999263,415.4837878
20.65901109,20.37401107,25.01140758,26.41409586,26.75206266,27.56335665,28.61989027,32.00802151,32.59866053,34.65254247,37.5872232,39.09936767,43.94918852,53.32080262,55.03596249,59.30489251,65.60573323,70.82326396,80.78885575,90.09430371,100.903362,110.8537781,119.5561429,101.6858221,105.8970844
112.9889692,117.2845784,120.5054932,106.987853,115.7701211,112.2136811,130.701466,147.1054464,129.6929895,136.3962056,127.2625707,98.51576348,85.691035,84.23962729,76.72785577,71.29703728,71.83301144,70.16816462,69.34281708,69.24776746,71.10820536,69.47113406,74.08230799,81.09828418,89.73222803
31.25757495,36.84522221,37.56281551,45.38339269,42.5944219,49.06184105,54.99920546,61.39774568,62.17106829,67.05264259,70.73300827,64.12378617,64.82760368,67.33274234,69.56553532,68.56365987,78.13684687,88.74696796,104.8162101,127.1595982,139.2162301,146.021156,155.2828684,150.7987481,152.1986574
16.67994709,17.05618147,19.14986233,22.74079565,22.52628191,23.23832052,23.88486894,27.35651659,31.07141346,32.05978051,33.53865563,35.73591789,41.3640635,44.35656362,48.26024595,49.16441135,51.0967057,54.58739896,57.60262016,58.10148156,61.18586841,62.69147421,67.05358778,65.21652149,68.67781099
0.045,0.098,0.101,0.11435085,1.667338522,1.945177723,2.325538376,3.617369332,6.687249846,4.179114092,6.085163805,4.518223509,5.730281856,10.6658708,10.13172797,9.047973098,7.834094844,9.031897249,9.970969483,10.64160537,13.35539066,16.46470251,18.52696094,14.20013103,13.48763727
32.76529448,32.03496808,34.80718338,39.10919481,44.32735534,47.43016217,55.37516269,66.479149,90.07891262,103.4708294,129.0646643,148.8461383,166.30915,182.5816001,224.2879912,244.5059324,276.2107528,298.5457645,316.7650314,326.7389565,357.6849171,399.4993447,426.6164935,445.6265872,491.0148605
