年末总人口(万人),城镇人口(万人),人均国内生产总值(元),国内生产总值(亿元),碳排放总量(百万吨)
129988,54283,12487,161840.2,8052.050077
130756,56212,14368,187318.9,8378.928536
131448,58288,16738,219438.5,8702.087021
132129,60633,20494,270092.3,8925.246546
132802,62403,24100,319244.6,9310.101544
133450,64512,26180,348517.7,9386.360833
134091,66978,30808,412119.3,9573.133681
134916,69927,36277,487940.2,10727.15999
135922,72175,39771,538580,10950.33583
136726,76738,43497,592963.2,11449.62689
137646,76738,46912,643563.1,11584.66688
138326,79302,49922,688858.2,11746.52385
139232,81924,53783,746395.1,12279.60852
140011,84343,59592,832035.9,14442.55634
140541,86433,65534,919281.1,13377.29984
141008,88426,70078,986515.2,14497.34424
141212,90220,71828,1013567,15443.53566
141260,50992,81370,1149237,15916.63137
